------------------------------------------------------------
 Electron Density
------------------------------------------------------------
Distance (nm), Carrier Density (/cm3)
               3.339,    8.82016044677e+18
                3.35,    8.76361569721e+18
               3.361,    8.71088668927e+18
               3.371,    8.65830406386e+18
               3.382,    8.60586741461e+18
               3.393,    8.55357633627e+18
               3.403,    8.50247017302e+18
               3.414,    8.45386903224e+18
               3.424,    8.40540281449e+18
               3.435,    8.35707114523e+18
               3.445,    8.30887365093e+18
               3.456,     8.2625324895e+18
               3.466,    8.21774937099e+18
               3.476,     8.1730905762e+18
               3.487,       8.12855576e+18
               3.497,     8.0841445782e+18
               3.507,    8.04196560064e+18
               3.518,    8.00070956422e+18
               3.528,    7.95956805989e+18
               3.538,    7.91854076969e+18
               3.548,    7.87762737655e+18
               3.558,    7.83907528939e+18
               3.569,    7.80107441182e+18
               3.579,    7.76317902959e+18
               3.589,    7.72538884985e+18
               3.599,    7.68770358052e+18
               3.609,    7.65230641342e+18
               3.619,    7.61730765984e+18
               3.629,    7.58240606733e+18
               3.639,    7.54760136615e+18
               3.649,    7.51289328731e+18
               3.658,    7.48023752176e+18
               3.668,    7.44800641446e+18
               3.678,    7.41586478489e+18
               3.688,    7.38381238463e+18
               3.698,    7.35184896597e+18
               3.707,    7.32157424338e+18
               3.717,     7.2918943626e+18
               3.727,    7.26229687701e+18
               3.736,    7.23278155785e+18
               3.746,    7.20334817704e+18
               3.756,    7.17514179815e+18
               3.765,    7.14781414653e+18
               3.775,       7.12056236e+18
               3.784,    7.09338622795e+18
               3.794,    7.06628554035e+18
               3.803,    7.03987693284e+18
               3.813,    7.01471919198e+18
               3.822,    6.98963129226e+18
               3.831,    6.96461303979e+18
               3.841,    6.93966424122e+18
                3.85,    6.91481954013e+18
                3.86,    6.89166524475e+18
               3.869,    6.86857522869e+18
               3.878,    6.84554931349e+18
               3.887,    6.82258732121e+18
               3.896,    6.79968907439e+18
               3.906,    6.77780181377e+18
               3.915,    6.75655857833e+18
               3.924,    6.73537431685e+18
               3.933,    6.71424886561e+18
               3.942,    6.69318206136e+18
               3.951,    6.67236365732e+18
                3.96,    6.65283010071e+18
               3.969,    6.63335077178e+18
               3.978,    6.61392551998e+18
               3.987,    6.59455419519e+18
               3.996,    6.57523664771e+18
               4.005,    6.55671473395e+18
               4.014,     6.5388166132e+18
               4.023,    6.52096817994e+18
               4.032,    6.50316929625e+18
                4.04,    6.48541982455e+18
               4.049,    6.46771962768e+18
               4.058,    6.45117710583e+18
               4.067,    6.43479413696e+18
               4.075,    6.41845664934e+18
               4.084,    6.40216451669e+18
               4.093,    6.38591761311e+18
               4.101,    6.36989747869e+18
                4.11,    6.35487968824e+18
               4.119,    6.33990358912e+18
               4.127,    6.32496906558e+18
               4.136,    6.31007600221e+18
               4.144,    6.29522428391e+18
               4.153,    6.28075325704e+18
               4.161,    6.26704865723e+18
                4.17,    6.25338210316e+18
               4.178,    6.23975348921e+18
               4.186,    6.22616271006e+18
               4.195,    6.21260966066e+18
               4.203,    6.19947534573e+18
               4.212,    6.18699631831e+18
                4.22,    6.17455193428e+18
               4.228,    6.16214209746e+18
               4.236,    6.14976671196e+18
               4.245,    6.13742568212e+18
               4.253,    6.12544281478e+18
               4.261,    6.11411075202e+18
               4.269,    6.10281014853e+18
               4.277,    6.09154091697e+18
               4.285,    6.08030297025e+18
               4.294,    6.06909622153e+18
               4.302,    6.05810189997e+18
